customer_id,age,gender,district,residential_status,employment_sector,employment_years,monthly_income_hkd,product_type,loan_amount_hkd,tenor_months,interest_rate_pct,num_existing_loans,num_credit_cards,existing_debt_payment_hkd,new_payment_hkd,dsr,ltv,delinq_24m,months_since_delinq,credit_history_years,tu_credit_score,default_flag
HK1000037,34,F,HK Island,Private Rental,Professional Services,3.4,24000.0,Mortgage,1682000,300,3.05,1,4,2880,8020,0.454,0.588,0,,12.2,686,0
HK1000038,56,F,Kowloon,Private Rental,Public Sector,12.4,53400.0,Personal Loan,662000,48,8.01,1,1,1970,16160,0.34,,1,12.0,25.0,702,0
HK1000039,41,F,HK Island,Public Housing,Self-Employed,4.1,24800.0,Mortgage,2320000,300,3.95,2,3,8180,12180,0.821,0.56,0,,13.6,702,0
HK1000040,53,F,HK Island,Owner,Self-Employed,2.3,18700.0,Credit Card,83000,24,27.69,2,5,1020,3320,0.232,,0,,17.7,699,1
HK1000041,28,M,New Territories,Private Rental,Professional Services,1.9,9300.0,Mortgage,524000,180,3.4,1,2,650,3720,0.47,0.6,3,8.0,4.8,573,1
HK1000042,47,M,HK Island,Owner,Finance & Insurance,3.4,39700.0,Personal Loan,529000,24,7.91,0,3,19070,23900,1.082,,0,,13.3,557,0
HK1000043,23,F,Kowloon,Private Rental,Construction,12.9,13400.0,SME Facility,409000,60,8.86,0,2,3430,8180,0.866,0.56,0,,1.5,631,0
HK1000044,48,M,Kowloon,Owner,Public Sector,7.1,32700.0,Credit Card,225000,12,27.42,3,5,3390,9000,0.379,,0,,20.0,733,0
HK1000045,42,M,Kowloon,Public Housing,Trade & Logistics,4.1,26600.0,Personal Loan,163000,36,9.94,0,3,3880,5250,0.343,,0,,11.0,758,0
HK1000046,38,F,New Territories,Private Rental,Public Sector,5.6,20100.0,Mortgage,2097000,180,3.52,1,1,7480,15010,1.119,0.699,0,,8.3,641,0
HK1000047,37,F,New Territories,Owner,Retail & F&B,7.0,18800.0,SME Facility,286000,36,6.76,2,1,5800,5720,0.613,0.904,0,,13.7,675,1
HK1000048,35,M,HK Island,Public Housing,Finance & Insurance,6.2,19800.0,Personal Loan,139000,24,5.41,2,1,3560,6120,0.489,,0,,12.6,671,0
HK1000049,25,F,New Territories,Private Rental,Public Sector,6.0,33600.0,Mortgage,3004000,120,3.69,3,2,6670,29970,1.09,0.508,0,,3.6,604,0
HK1000050,39,M,HK Island,Owner,Retail & F&B,6.8,18200.0,Personal Loan,101000,60,8.29,1,3,2220,2060,0.235,,0,,9.2,735,0
HK1000051,53,F,New Territories,Owner,Finance & Insurance,4.0,37000.0,Credit Card,130000,24,29.64,0,3,2900,5200,0.219,,1,6.0,19.7,709,0
HK1000052,41,M,Kowloon,Owner,Finance & Insurance,4.9,41100.0,Mortgage,2386000,120,3.47,3,4,8610,23560,0.783,0.564,0,,15.4,674,0
HK1000053,26,F,New Territories,Owner,Public Sector,7.7,17100.0,Mortgage,898000,180,3.51,1,4,5230,6420,0.681,0.6,1,5.0,3.6,625,0
HK1000054,50,M,New Territories,Public Housing,Finance & Insurance,3.5,75600.0,Mortgage,4279000,120,3.44,1,1,8670,42190,0.673,0.66,2,16.0,23.8,591,0
HK1000055,56,M,New Territories,Owner,Public Sector,8.9,44100.0,Credit Card,236000,12,28.59,0,3,3840,9440,0.301,,0,,19.0,706,0
HK1000056,24,F,HK Island,Owner,Self-Employed,4.5,24400.0,Personal Loan,135000,36,8.64,0,3,2090,4270,0.261,,0,,1.8,760,0
HK1000057,33,M,HK Island,Public Housing,Self-Employed,0.8,26500.0,Mortgage,2382000,300,3.53,2,4,13770,11960,0.971,0.739,1,2.0,10.7,533,1
HK1000058,49,M,New Territories,Living with Family,Retail & F&B,1.8,18300.0,Credit Card,122000,24,24.82,0,2,6880,4880,0.643,,1,12.0,18.7,677,1
HK1000059,49,F,New Territories,Owner,Construction,6.5,23100.0,Credit Card,146000,12,31.16,2,2,3050,5840,0.385,,0,,24.7,695,0
HK1000060,31,F,Kowloon,Owner,Professional Services,3.9,24900.0,SME Facility,1020000,12,8.24,2,3,8480,20400,1.16,0.605,0,,5.8,563,1
HK1000061,42,M,Kowloon,Owner,Construction,10.4,20500.0,Personal Loan,147000,48,8.54,3,2,2630,3630,0.305,,0,,8.4,676,0
HK1000062,44,M,HK Island,Living with Family,Finance & Insurance,6.3,52200.0,Credit Card,85000,12,27.43,1,2,13760,3400,0.329,,0,,14.3,668,0
HK1000063,37,F,New Territories,Living with Family,Professional Services,5.0,19700.0,Credit Card,52000,24,23.22,0,4,3360,2080,0.276,,0,,12.7,766,0
HK1000064,38,M,Kowloon,Owner,Trade & Logistics,11.9,13100.0,Mortgage,688000,180,3.3,5,5,410,4850,0.402,0.869,1,11.0,15.2,620,0
HK1000065,46,F,New Territories,Public Housing,Finance & Insurance,5.6,31400.0,Credit Card,118000,24,28.89,0,6,5260,4720,0.318,,0,,11.9,687,0
HK1000066,36,M,Kowloon,Owner,Trade & Logistics,6.4,25700.0,Personal Loan,300000,36,7.02,0,2,6100,9270,0.598,,0,,11.6,734,0
HK1000067,34,M,Kowloon,Owner,Finance & Insurance,11.6,26700.0,Mortgage,2134000,360,3.22,3,2,5530,9250,0.554,0.766,3,17.0,9.3,515,1
HK1000068,38,F,New Territories,Private Rental,Retail & F&B,15.5,17800.0,Credit Card,49000,24,27.96,3,2,7250,1960,0.517,,0,,7.4,695,1
HK1000069,70,F,New Territories,Private Rental,Public Sector,10.1,31300.0,Personal Loan,173000,24,6.76,2,4,4960,7730,0.405,,0,,29.1,781,0
HK1000070,22,F,Kowloon,Private Rental,Professional Services,11.5,22500.0,Credit Card,110000,12,31.57,3,4,7700,4400,0.538,,0,,0.5,634,1
HK1000071,32,M,New Territories,Living with Family,Self-Employed,0.8,34200.0,Personal Loan,132000,60,9.55,0,3,10860,2780,0.399,,0,,9.3,702,0
HK1000072,65,M,Kowloon,Private Rental,Self-Employed,3.0,38600.0,Mortgage,3404000,240,3.24,2,4,4510,19290,0.617,0.751,0,,27.4,727,0
HK1000073,45,M,HK Island,Owner,Retail & F&B,4.4,22900.0,Personal Loan,233000,48,5.66,3,2,1530,5440,0.304,,0,,17.8,710,0
HK1000074,41,F,HK Island,Public Housing,Public Sector,5.0,27600.0,Personal Loan,293000,36,7.44,1,2,5920,9110,0.545,,1,21.0,19.0,730,0
HK1000075,41,M,HK Island,Owner,Professional Services,4.6,40500.0,Mortgage,3168000,240,3.69,2,2,11570,18680,0.747,0.651,0,,17.4,675,0
HK1000076,44,M,HK Island,Living with Family,Finance & Insurance,5.8,17700.0,SME Facility,786000,24,6.37,2,4,620,15720,0.923,0.588,0,,15.7,654,1
HK1000077,48,M,HK Island,Owner,Trade & Logistics,1.4,16600.0,Personal Loan,60000,12,6.23,1,1,4800,5170,0.601,,0,,14.1,716,0
HK1000078,40,M,New Territories,Public Housing,Trade & Logistics,6.3,16600.0,Credit Card,106000,12,33.17,3,1,5330,4240,0.577,,0,,17.9,667,0
HK1000079,57,F,Kowloon,Private Rental,Construction,2.7,34800.0,Mortgage,2696000,180,3.56,4,4,13120,19350,0.933,0.874,0,,19.8,629,0
HK1000080,44,M,Kowloon,Public Housing,Construction,18.6,16600.0,Personal Loan,132000,60,6.85,1,2,2580,2600,0.312,,2,18.0,16.1,670,0
HK1000081,36,M,Kowloon,Private Rental,Retail & F&B,9.8,10100.0,Mortgage,490000,360,3.36,0,2,1070,2160,0.32,0.591,0,,7.6,695,0
HK1000082,41,M,Kowloon,Public Housing,Professional Services,5.4,42300.0,Personal Loan,490000,36,10.7,3,2,840,15970,0.397,,2,19.0,11.5,654,0
HK1000083,30,M,Kowloon,Owner,Public Sector,14.7,16800.0,Mortgage,1673000,360,3.75,2,2,1650,7750,0.56,0.693,1,22.0,7.0,623,0
HK1000084,42,F,New Territories,Private Rental,Self-Employed,1.2,20000.0,Credit Card,143000,24,22.03,2,3,1220,5720,0.347,,4,9.0,15.8,563,1
HK1000085,40,F,Kowloon,Private Rental,Professional Services,5.8,47500.0,Credit Card,187000,12,30.3,1,4,9470,7480,0.357,,0,,17.0,743,0
HK1000086,40,M,New Territories,Private Rental,Construction,10.5,26400.0,Mortgage,2627000,240,3.74,1,1,930,15560,0.625,0.624,0,,17.9,732,0
HK1000087,43,F,New Territories,Private Rental,Public Sector,18.5,33100.0,SME Facility,1371000,36,6.88,3,2,2530,27420,0.905,0.58,0,,10.6,664,0
HK1000088,61,M,HK Island,Owner,Finance & Insurance,5.1,57600.0,Mortgage,4238000,120,3.06,3,2,24760,41040,1.142,0.646,1,12.0,36.8,648,0
HK1000089,41,F,New Territories,Owner,Self-Employed,1.0,27600.0,Credit Card,158000,24,24.84,3,2,1560,6320,0.286,,0,,9.1,724,0
HK1000090,32,M,New Territories,Private Rental,Trade & Logistics,12.0,13600.0,Mortgage,1447000,180,3.3,1,3,3440,10200,1.003,0.569,0,,4.5,625,0
HK1000091,61,F,Kowloon,Owner,Construction,24.3,22600.0,Personal Loan,186000,12,9.56,0,2,1490,16310,0.788,,0,,31.6,729,0
HK1000092,44,F,New Territories,Owner,Professional Services,2.2,25400.0,Personal Loan,182000,12,8.54,0,6,5460,15880,0.84,,1,11.0,17.1,630,0
HK1000093,36,M,Kowloon,Public Housing,Public Sector,12.0,30800.0,SME Facility,1255000,36,10.21,1,4,8840,25100,1.102,0.694,0,,9.6,637,1
HK1000094,54,F,HK Island,Owner,Finance & Insurance,17.2,35000.0,Credit Card,165000,24,23.15,3,2,4370,6600,0.313,,2,15.0,14.8,666,1
HK1000095,49,M,New Territories,Private Rental,Trade & Logistics,4.7,22000.0,Mortgage,1809000,120,3.61,0,5,6400,17980,1.108,0.45,2,5.0,15.6,530,1
HK1000096,40,F,Kowloon,Owner,Trade & Logistics,7.8,18000.0,Personal Loan,222000,12,10.04,1,2,4900,19520,1.357,,0,,9.7,619,0
HK1000097,37,M,HK Island,Private Rental,Trade & Logistics,3.2,48100.0,Mortgage,2389000,360,3.99,2,3,11230,11390,0.47,0.723,0,,11.0,685,0
HK1000098,47,M,HK Island,Owner,Professional Services,10.7,21700.0,Mortgage,1981000,120,3.5,3,3,3380,19590,1.059,0.609,0,,11.3,642,0
HK1000099,27,F,New Territories,Public Housing,Professional Services,8.5,27400.0,Personal Loan,215000,12,2.67,1,4,10470,18180,1.046,,0,,3.9,639,1
HK1000100,23,M,HK Island,Owner,Construction,2.6,22100.0,Personal Loan,223000,48,8.3,3,1,1400,5480,0.311,,0,,1.3,630,0
HK1000101,48,F,New Territories,Owner,Construction,5.5,23600.0,Personal Loan,124000,12,5.82,3,3,4200,10660,0.63,,0,,25.5,736,0
HK1000102,38,F,Kowloon,Private Rental,Self-Employed,10.7,21200.0,Personal Loan,281000,12,8.91,1,1,1870,24560,1.247,,0,,8.7,566,1
HK1000103,32,M,HK Island,Private Rental,Professional Services,2.1,20400.0,Personal Loan,72000,24,9.67,1,2,2990,3310,0.309,,0,,8.6,718,0
HK1000104,31,F,New Territories,Owner,Finance & Insurance,6.7,35000.0,Mortgage,2233000,360,3.83,1,3,11570,10440,0.629,0.55,2,17.0,4.0,597,1
HK1000105,48,F,HK Island,Public Housing,Finance & Insurance,5.6,41400.0,Credit Card,50000,12,23.81,1,2,5110,2000,0.172,,1,13.0,21.6,736,0
HK1000106,50,F,Kowloon,Owner,Finance & Insurance,14.1,42000.0,Credit Card,124000,12,28.34,6,4,16650,4960,0.515,,0,,17.8,679,0
HK1000107,37,M,New Territories,Private Rental,Finance & Insurance,5.0,36200.0,Credit Card,172000,12,22.45,2,3,10480,6880,0.48,,0,,15.2,658,1
HK1000108,23,M,New Territories,Living with Family,Retail & F&B,9.2,9600.0,SME Facility,211000,24,7.62,0,5,3180,4220,0.771,0.568,0,,1.4,639,0
HK1000109,35,F,Kowloon,Public Housing,Construction,3.4,19100.0,Personal Loan,50000,60,6.37,2,1,3330,980,0.226,,2,19.0,5.9,618,0
HK1000110,56,F,HK Island,Public Housing,Self-Employed,6.8,25500.0,Personal Loan,70000,24,7.81,0,1,3760,3160,0.271,,0,,20.7,779,0
HK1000111,34,F,New Territories,Owner,Self-Employed,1.4,19400.0,Credit Card,106000,24,27.4,0,2,1460,4240,0.294,,0,,7.2,697,0
HK1000112,55,M,HK Island,Private Rental,Retail & F&B,0.0,27600.0,Mortgage,2616000,360,3.38,0,2,2300,11570,0.503,0.921,0,,28.5,720,0
HK1000113,47,F,New Territories,Owner,Professional Services,2.1,18900.0,Personal Loan,254000,24,7.43,0,2,4520,11420,0.843,,0,,24.3,682,0
HK1000114,47,F,New Territories,Public Housing,Finance & Insurance,3.2,38600.0,Mortgage,2118000,120,3.65,1,3,5860,21090,0.698,0.721,0,,19.0,671,0
HK1000115,46,M,New Territories,Owner,Finance & Insurance,24.7,22300.0,Credit Card,126000,24,26.09,0,4,2340,5040,0.331,,0,,18.5,752,0
HK1000116,44,F,HK Island,Private Rental,Retail & F&B,5.3,22600.0,Mortgage,1908000,120,2.77,4,3,6060,18220,1.074,0.792,1,12.0,14.6,667,1
HK1000117,44,F,New Territories,Owner,Retail & F&B,9.3,15400.0,Personal Loan,81000,12,8.13,1,3,1360,7050,0.546,,0,,15.4,699,0
HK1000118,33,M,HK Island,Owner,Professional Services,2.5,25000.0,SME Facility,1091000,12,6.86,2,1,4170,21820,1.04,0.536,1,6.0,8.6,565,1
HK1000119,63,M,New Territories,Living with Family,Retail & F&B,4.6,31800.0,Credit Card,209000,24,28.42,3,1,2010,8360,0.326,,1,4.0,26.0,727,0
HK1000120,51,F,HK Island,Owner,Finance & Insurance,3.1,17600.0,Mortgage,1278000,300,4.09,0,3,5780,6810,0.715,0.636,0,,18.3,680,0
HK1000121,52,F,HK Island,Private Rental,Public Sector,6.1,23600.0,Personal Loan,318000,12,8.31,3,2,4140,27710,1.35,,0,,19.7,592,0
HK1000122,28,F,Kowloon,Public Housing,Trade & Logistics,8.0,10200.0,Personal Loan,104000,12,12.41,0,3,1070,9260,1.013,,0,,5.8,639,0
HK1000123,25,F,New Territories,Private Rental,Professional Services,2.4,46600.0,Personal Loan,485000,12,7.46,1,4,6630,42070,1.045,,0,,2.4,633,0
HK1000124,40,F,HK Island,Public Housing,Finance & Insurance,28.5,47800.0,SME Facility,1890000,12,6.48,2,3,5270,37800,0.901,0.782,0,,16.7,692,0
HK1000125,25,F,Kowloon,Living with Family,Retail & F&B,1.6,15600.0,SME Facility,415000,60,8.86,1,3,840,8300,0.586,0.668,0,,3.6,652,0
HK1000126,55,M,Kowloon,Owner,Construction,8.6,20100.0,Mortgage,2145000,240,3.82,1,2,1160,12800,0.695,0.656,0,,14.1,649,0
HK1000127,53,F,Kowloon,Owner,Retail & F&B,3.4,15000.0,SME Facility,249000,12,8.05,2,5,2290,4980,0.485,0.649,0,,29.7,750,0
HK1000128,37,M,HK Island,Private Rental,Trade & Logistics,8.0,20400.0,Mortgage,1631000,240,3.78,0,3,1680,9700,0.558,0.469,0,,11.4,708,0
HK1000129,37,M,New Territories,Owner,Finance & Insurance,9.4,41800.0,Personal Loan,262000,24,8.54,1,3,7190,11910,0.457,,0,,10.5,700,0
HK1000130,62,M,New Territories,Private Rental,Construction,2.0,15800.0,Personal Loan,64000,12,11.72,1,2,4270,5680,0.63,,0,,33.5,705,0
HK1000131,40,F,HK Island,Living with Family,Trade & Logistics,3.7,29300.0,Mortgage,3143000,120,2.59,2,1,1920,29760,1.081,0.475,0,,10.5,614,0
HK1000132,33,M,HK Island,Owner,Retail & F&B,3.4,10000.0,Credit Card,34000,12,25.56,0,6,2500,1360,0.386,,0,,6.7,724,0
HK1000133,50,M,HK Island,Public Housing,Retail & F&B,1.7,,SME Facility,593000,24,11.4,2,4,1910,11860,0.93,0.338,0,,21.7,654,1
HK1000134,57,F,Kowloon,Private Rental,Finance & Insurance,5.1,53700.0,Mortgage,3890000,180,3.32,3,3,9150,27470,0.682,0.57,0,,24.9,664,0
HK1000135,24,M,New Territories,Private Rental,Public Sector,15.8,22100.0,Mortgage,1629000,180,3.89,3,2,3590,11960,0.704,0.6,0,,1.7,644,0
HK1000136,37,M,New Territories,Owner,Finance & Insurance,15.7,25600.0,Personal Loan,155000,24,8.86,1,2,6040,7070,0.512,,4,10.0,10.2,588,1
HK1000137,34,M,New Territories,Owner,Public Sector,7.2,15000.0,Credit Card,79000,24,32.84,1,4,7120,3160,0.685,,1,13.0,6.0,669,0
HK1000138,21,M,HK Island,Owner,Professional Services,2.6,30100.0,Credit Card,73000,24,25.15,2,3,2340,2920,0.175,,1,14.0,0.0,670,0
HK1000139,37,M,New Territories,Private Rental,Public Sector,8.4,28600.0,Personal Loan,113000,60,6.44,0,2,4840,2210,0.247,,1,6.0,9.8,685,0
HK1000140,47,F,Kowloon,Owner,Professional Services,13.8,25300.0,Credit Card,73000,24,25.26,2,4,6460,2920,0.371,,0,,16.0,713,0
HK1000141,63,M,HK Island,Owner,Finance & Insurance,2.2,62000.0,Mortgage,3245000,120,3.81,1,3,35490,32560,1.098,0.454,0,,27.0,685,0
HK1000142,42,M,HK Island,Living with Family,Retail & F&B,2.4,17200.0,SME Facility,482000,24,8.31,1,4,2560,9640,0.709,0.575,2,19.0,14.1,582,1
HK1000143,27,F,HK Island,Owner,Self-Employed,1.3,26700.0,Mortgage,1396000,120,3.47,1,4,5090,13780,0.707,0.625,0,,3.9,628,0
HK1000144,35,F,Kowloon,Owner,Self-Employed,4.6,33300.0,Mortgage,1510000,300,3.31,1,1,2140,7410,0.287,0.556,0,,12.0,715,0
HK1000145,54,M,New Territories,Private Rental,Retail & F&B,3.9,22100.0,Credit Card,31000,24,26.32,2,3,12160,1240,0.606,,3,10.0,15.4,557,1
HK1000146,25,M,HK Island,Living with Family,Trade & Logistics,3.0,20000.0,Credit Card,94000,12,32.37,2,2,4680,3760,0.422,,0,,2.0,652,0
HK1000147,43,M,Kowloon,Public Housing,Finance & Insurance,7.4,34200.0,Mortgage,3462000,240,3.43,2,2,8910,19950,0.844,0.78,0,,20.5,705,0
HK1000148,49,F,Kowloon,Owner,Construction,8.1,31500.0,Credit Card,175000,12,32.03,1,5,3940,7000,0.347,,0,,13.1,728,0
HK1000149,21,F,Kowloon,Private Rental,Public Sector,9.6,13500.0,SME Facility,215000,36,8.86,1,2,4870,4300,0.679,0.752,1,1.0,0.0,634,0
HK1000150,36,M,New Territories,Living with Family,Finance & Insurance,5.5,37700.0,Credit Card,263000,12,26.18,3,3,10790,10520,0.565,,0,,8.2,676,0
HK1000151,25,M,HK Island,Private Rental,Public Sector,5.3,30100.0,Credit Card,123000,12,30.41,1,6,9840,4920,0.49,,0,,3.4,665,0
HK1000152,21,M,New Territories,Private Rental,Public Sector,13.9,15200.0,SME Facility,369000,12,9.05,0,2,2230,7380,0.632,0.714,0,,0.0,699,0
HK1000153,27,M,Kowloon,Owner,Retail & F&B,9.5,14800.0,Personal Loan,121000,60,7.39,2,6,3700,2420,0.414,,0,,2.5,677,0
HK1000154,22,M,Kowloon,Public Housing,Construction,17.6,13900.0,Personal Loan,178000,48,7.07,0,5,2590,4270,0.494,,0,,0.8,670,0
HK1000155,47,F,Kowloon,Private Rental,Retail & F&B,1.8,13400.0,Credit Card,76000,12,31.53,1,1,3270,3040,0.471,,0,,22.6,717,1
HK1000156,39,F,New Territories,Owner,Trade & Logistics,4.8,18300.0,Personal Loan,186000,36,4.93,1,3,3420,5570,0.491,,0,,12.3,656,0
HK1000157,36,F,Kowloon,Owner,Finance & Insurance,8.8,26400.0,Personal Loan,286000,60,8.6,1,5,1700,5880,0.287,,3,14.0,7.3,560,1
HK1000158,45,M,HK Island,Owner,Trade & Logistics,7.6,11000.0,Personal Loan,120000,48,6.92,1,3,340,2870,0.292,,0,,19.1,732,0
HK1000159,41,M,New Territories,Owner,Construction,5.4,12700.0,Credit Card,67000,12,29.33,2,3,3040,2680,0.45,,0,,9.8,723,0
HK1000160,41,M,Kowloon,Public Housing,Finance & Insurance,8.2,21300.0,Credit Card,139000,12,31.73,1,4,5950,5560,0.54,,1,3.0,12.7,681,1
HK1000161,60,F,Kowloon,Owner,Public Sector,9.7,22400.0,Mortgage,1996000,180,3.57,1,3,4590,14340,0.845,0.576,0,,20.3,620,0
HK1000162,29,F,Kowloon,Private Rental,Finance & Insurance,13.5,35100.0,Personal Loan,323000,24,11.71,2,1,6760,15160,0.625,,0,,3.9,616,0
HK1000163,42,M,Kowloon,Living with Family,Self-Employed,2.3,33000.0,Personal Loan,333000,60,7.43,1,3,10560,6660,0.522,,0,,17.1,753,0
HK1000164,31,M,New Territories,Owner,Self-Employed,5.6,31900.0,Credit Card,110000,12,27.25,0,4,10180,4400,0.457,,1,23.0,8.0,658,0
HK1000165,33,F,Kowloon,Owner,Trade & Logistics,2.5,30300.0,Credit Card,150000,12,28.1,1,4,4350,6000,0.342,,0,,7.9,689,1
HK1000166,27,F,HK Island,Private Rental,Trade & Logistics,10.0,19400.0,Mortgage,1170000,300,4.69,1,2,1480,6630,0.418,0.588,0,,3.3,739,0
HK1000167,52,M,New Territories,Public Housing,Trade & Logistics,4.0,26700.0,SME Facility,705000,36,11.71,2,4,5990,14100,0.752,0.685,0,,13.9,657,0
HK1000168,37,M,New Territories,Public Housing,Retail & F&B,6.2,13800.0,Personal Loan,55000,48,8.76,0,1,2080,1360,0.249,,0,,10.5,712,0
HK1000169,45,M,Kowloon,Owner,Public Sector,5.6,32000.0,Credit Card,189000,24,23.77,1,6,14070,7560,0.676,,1,17.0,11.5,628,0
HK1000170,52,F,New Territories,Owner,Retail & F&B,5.3,9600.0,Personal Loan,55000,24,6.14,0,6,1050,2440,0.364,,0,,15.7,736,0
